"covariateId","covariateName","analysisId","conceptId","covariateValue"
12003,"age group:  60 -  64",3,0,3.00703349953067
11003,"age group:  55 -  59",3,0,2.6638732766147
10003,"age group:  50 -  54",3,0,2.47142681796498
9003,"age group:  45 -  49",3,0,2.02799154304184
8003,"age group:  40 -  44",3,0,1.92276339596325
7003,"age group:  35 -  39",3,0,1.72553893529083
6003,"age group:  30 -  34",3,0,1.10073617920276
8507001,"gender = MALE",1,8507,0.766365380282251
3003,"age group:  15 -  19",3,0,-0.416787173168763
5003,"age group:  25 -  29",3,0,0.0574488399637252
4003,"age group:  20 -  24",3,0,0
8532001,"gender = FEMALE",1,8532,0
